,unclassified,Homo sapiens,Bacteria
037b44a2366e4ff99376d263b120746f,1.47,98.20,0.00
03bfc933045e48c8840b6ac7cbc7a10b,0.83,99.17,0.00
04364596acbd418d9cd641300d3ee118,1.29,98.68,0.03
046dab5dd4574742874333d004631dd3,0.74,99.25,0.00
094c3695f61a4aafb5982efdd612897a,0.92,99.07,0.01
0e3e0ed62d8e4b99a24c8fac111049e0,1.40,98.17,0.00
1034464f614542dbb49e3c99d8fb74a2,0.96,99.01,0.00
1048136b4e844a6e9b34f31a2e7b57fe,1.33,98.32,
128bd340d283495ea64b96df52b2bc23,0.95,99.03,0.02
1702bd083b19469489918fd5105010c6,0.83,99.17,0.00
178a9db4911d4235acaa62c5a82097e7,1.03,98.96,
199c0e000f07464081444a40a0af34cb,1.07,98.87,0.06
1d65d24cb69448dd9160094319516ebf,1.79,98.09,0.11
25fd18a8cfba43f99e4ff21d6c36b85c,1.36,98.23,0.00
2a3120f3538d465991e9f1fc77ce270d,0.79,99.19,0.00
2ca4432527b64421a77700fb294154ea,0.98,98.96,0.03
2d9166d1deff435a9da6a3c5b3a0f624,1.07,98.90,0.01
33a419af7f454cea9d66654f7f042c64,1.30,98.68,0.00
33ed84ddac9e40ef99fdfaba72f8453c,0.74,99.25,0.00
3a4c04ea83a6414fb22c77ef3f67a9c6,1.32,98.35,0.00
3a5dcc0b72fe4ca887bd407169de8322,3.05,96.57,0.37
3b057e9890e443329f0519b03d6337fb,0.83,99.17,0.00
3b73502240254d179634637074c87bfd,0.71,99.27,
3d0d1a350836467887dbc4b06655e585,1.38,98.49,0.11
40a595c1fe26432ab294b4ca65e93b62,0.85,99.13,0.01
41bf364a85974702a733b510b4a30d44,1.14,98.81,0.02
47b724b574ea441b943bdb68749bd284,0.74,99.25,0.00
484d6ac52d4f4c00b906a9637ac9e39f,2.96,96.92,0.03
48f332858e604a7eb8adfb47252aa181,0.84,99.16,0.00
49ad394dc0f94dc9a3b71c5274de869d,1.06,98.93,0.00
4dc816d420a247ef9fa0d77005619792,1.28,98.68,0.04
4f039932146540c9b31acafe84d88b59,1.24,98.40,0.00
4f9d6dfe62004449945ac3913517c6e6,1.22,98.42,0.00
50fee8a03f734792865d0d54653878b9,1.38,98.18,0.01
53fb09f6f1294bd98d13352be0e22acc,1.59,98.07,
54d3e0aa24b840e681e4db0b7ae53bcb,1.54,98.29,0.15
5622d667c0954629b4f65eccdbd1031e,0.74,99.24,
598725394d0d4bf991b92afd45da1123,3.57,96.37,0.02
5fe3d908f9ac42bc97a6830c3f30bbdd,1.05,98.94,0.02
5ff6f423cfb142b6b8a339acadf6f432,3.28,96.67,0.03
6c11c86dba744635be8d33d6487ef491,1.04,98.93,0.01
6fcbb672778f46e8b8bba36fdf0bc34d,1.11,98.84,0.02
74e22b1d2d6446d0b98fe057b12eaa62,0.75,99.24,
7b2775c9455f4386bafc924d70542df4,0.84,99.14,0.00
7c15d078729d4f58b1e83b2f9d4c49d5,0.77,99.23,0.00
7c4c2413094c419293fc4580b76dc459,0.77,99.22,
7e335160773c40d483f55a77fcf06f6d,0.97,99.03,0.01
7e79fd6454954296950a76e1793c3d65,1.31,98.58,0.05
7f8a5d847bec4b37849280c15751786c,1.55,98.13,
7ffada4ba21646af9d33e0122f74e957,1.31,98.32,
8036e99c19d145ada3926e9458aabddc,1.00,98.99,0.00
